date,high,low,open,close,volume,quoteVolume,weightedAverage
1641014400,3755.25095421,3714.92436927,3714.92436927,3755.25095421,77745.90690521,20.86390107,3726.33605979
1641014700,3758.75639537,3747.17198431,3751.95542479,3750.96264131,642.5289586,0.17122555,3752.52968148
1641015000,3763.20389535,3752.43169421,3752.43169421,3757.91796205,1077.06959247,0.28636245,3761.21098445
1641015300,3761.53524497,3753.70799816,3758.60974126,3757.37091683,5115.38230251,1.36229718,3754.96798908
1641015600,3755.50586943,3745.31958946,3755.25298849,3746.05094189,168.08232551,0.04483449,3748.95143254
1641015900,3744.04340061,3736.76524295,3744.04340061,3741.51560854,1235.6930761,0.33044558,3739.47527489
1641016200,3741.51560854,3736.82254323,3740.22829287,3738.09046653,120.39743841,0.03219665,3739.43992357
1641016500,3740.56908777,3730.84816443,3738.87558513,3737.12692575,10705.94908829,2.86929192,3731.21640697
1641016800,3737.95019856,3730.24581123,3736.02651226,3730.32310498,16499.85019904,4.42209892,3731.22593988
1641017100,3737.47656382,3729.36391998,3729.52579882,3737.47656382,4466.35784643,1.19610094,3734.09776472
1641017400,3742.56086564,3735.59820326,3737.47656382,3740.27966911,3507.49795224,0.93750578,3741.30808264
1641017700,3741.34645219,3732.13044583,3741.34645219,3732.40762107,158.50069562,0.04241351,3737.03321476
1641018000,3734.22646459,3729.48180298,3732.31228348,3729.48680617,6329.74011047,1.69701277,3729.93074794
1641018300,3730.18541452,3727.12027927,3729.393569,3728.35281128,621.03114844,0.16656848,3728.3833559
1641018600,3730.72293784,3727.17487374,3728.23830064,3729.05462062,134.47771332,0.03607086,3728.15378753
1641018900,3730.77385406,3724.11926355,3728.93342247,3727.23371989,310.5627724,0.08330479,3728.0301937
1641019200,3729.35671256,3724.0965635,3725.99933195,3724.65521293,153.42131547,0.04117274,3726.28383423
1641019500,3728.12582186,3716.41957595,3723.65704575,3718.36396441,925.87095813,0.2487891,3721.50933514
1641019800,3717.05272264,3713.56418824,3716.79768042,3714.7956267,622.01211728,0.16741069,3715.4862529
1641020100,3719.81401852,3709.78143529,3714.7956267,3712.65016501,4836.62128535,1.30351489,3710.44575129
1641020400,3714.55179024,3706.0903133,3713.51727867,3713.05506771,19133.36175709,5.1571782,3710.04472117
1641020700,3713.33355381,3703.75601236,3713.33355381,3707.39652967,38469.8931545,10.38625779,3703.92242637
1641021000,3708.25309746,3704.99854647,3707.39652967,3707.49290436,18113.44087366,4.88686456,3706.55676073
1641021300,3715.51482734,3708.22999099,3708.74412106,3711.72756985,25912.13233316,6.98032151,3712.16888735
1641021600,3715.11044708,3707.83574107,3713.72247096,3710.62416151,438.77054423,0.11823353,3711.0500231
1641021900,3709.96846428,3707.23392035,3709.32258021,3707.62659344,559.19374336,0.15080123,3708.15107653
1641022200,3711.07214943,3705.07521228,3708.19714339,3710.53234767,459.10264415,0.12378303,3708.93040959
1641022500,3715.08359562,3709.93124094,3710.32859298,3715.08359562,389.24826655,0.1048399,3712.78746506
1641022800,3721.05392636,3714.61043691,3715.41617068,3719.98422608,348.37859517,0.09368828,3718.48640167
1641023100,3725.48736827,3718.85530429,3721.46992825,3718.85530429,535.8550589,0.14401918,3720.72010758
1641023400,3722.56242694,3717.80418454,3717.80418454,3721.49333732,67.84185126,0.01823502,3720.41551179
1641023700,3722.80851475,3711.86532739,3722.80851475,3716.02382771,8631.47297572,2.3228158,3715.95241246
1641024000,3718.29258676,3709.1867374,3716.02348506,3715.4375074,4365.85266272,1.17669417,3710.26964697
1641024300,3717.49109122,3711.89307766,3716.83845629,3713.93288034,73.53153744,0.01979835,3714.02351409
1641024600,3717.90526178,3712.32025257,3713.84004386,3717.90526178,8682.1528184,2.33730787,3714.59529565
1641024900,3725.69599532,3717.59757297,3718.35291383,3722.40155804,98.49959763,0.02646249,3722.23466627
1641025200,3722.49461809,3719.23520066,3722.40155804,3720.00694457,11785.8471613,3.16825767,3719.97747307
1641025500,3725.85880786,3720.10359756,3720.10359756,3722.48153794,4176.65807716,1.12148367,3724.225496
1641025800,3723.29067347,3720.29132932,3722.66870399,3720.96400924,117.52830082,0.03157665,3722.00030149
1641026100,3722.51153321,3718.14835483,3721.75850424,3718.14835483,292.83182463,0.07867943,3721.8345968
1641026400,3723.6217649,3718.14835483,3718.14835483,3722.8797103,135.02512621,0.03627738,3722.01978784
1641026700,3733.36405615,3724.34900149,3724.80320426,3730.23927061,414.38310115,0.11110303,3729.71917285
1641027000,3730.20736179,3721.84953554,3730.02085842,3724.10958992,308.42989016,0.08278308,3725.76002448
1641027300,3724.14214047,3722.51596564,3724.10958992,3723.3690345,295.1390075,0.07926485,3723.45380713
